epoch,loss,f1 score
1.0,10.199355061848959,0.9621621621621622
2.0,4.851529947916666,0.994059405940594
3.0,4.149214426676433,0.9955467590301831
4.0,3.356384023030599,0.9965363681345869
5.0,3.1289708455403646,0.9965363681345869
6.0,3.2501347859700522,0.9965363681345869
7.0,3.6088437398274738,0.9930555555555556
8.0,2.5972941080729166,0.9965363681345869
9.0,2.715096028645833,0.9965363681345869
10.0,2.50779291788737,0.9965363681345869
11.0,3.676182810465495,0.9890329012961117
12.0,2.8602032979329426,0.994047619047619
13.0,2.734649149576823,0.9950445986124876
14.0,3.029452006022135,0.9910447761194029
